"entrez_gene_id","contributing_probe_count"
"101930657",1
"10194",2
"10195",1
"101954204",1
"10196",1
"10197",4
"101978719",1
"10198",4
"10199",1
"102",3
"1020",1
"10200",2
"10201",1
"10202",2
"10203",3
"10205",3
"10206",4
"102060282",1
"10207",6
"10208",2
"10209",7
"1021",7
"10210",1
"10211",4
"10212",1
"10213",1
"10214",3
"10215",2
"102157402",1
"10216",1
"10217",5
"10218",1
"10219",1
"1022",1
"10220",5
"10221",3
"10223",1
"10224",3
"10225",2
"10226",1
"10227",1
"10228",5
"10229",3
"10230",2
"10231",1
"10232",1
"10233",1
"10234",2
"10235",4
"10236",3
"10237",1
"10238",7
"1024",3
"10240",3
"10241",4
