experiment,file_accession,assembly,file_status,file_format,output_type,file_size,audit_levels,eligible,reason,biological_replicates
ENCSR000EPK,ENCFF490JAP,GRCh38,archived,bigBed,hotspots,2342607,,False,file not released; not BED; not an eligible peak output,2
ENCSR000EPK,ENCFF560DOD,GRCh38,released,bam,alignments,3013830440,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000EPK,ENCFF659BVQ,GRCh38,released,bigWig,read-depth normalized signal,646088009,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000EPK,ENCFF038AUV,GRCh38,archived,bed,peaks,1153571,,False,file not released,2
ENCSR000EPK,ENCFF820PCI,GRCh38,archived,bed,hotspots,1645297,,False,file not released; not an eligible peak output,2
ENCSR000EPK,ENCFF055EZF,GRCh38,archived,bigBed,peaks,1707914,,False,file not released; not BED,2
ENCSR000EPK,ENCFF924KSD,GRCh38,archived,bigBed,hotspots,2706783,,False,file not released; not BED; not an eligible peak output,2
ENCSR000EPK,ENCFF757YRW,hg19,released,bam,unfiltered alignments,3716692886,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000EPK,ENCFF617IIG,hg19,archived,bigBed,peaks,1680640,,False,file not released; file not GRCh38; not BED,2
ENCSR000EPK,ENCFF227VKS,hg19,released,bam,alignments,3024288178,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000EPK,ENCFF398USK,hg19,released,bigWig,read-depth normalized signal,643453886,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000EPK,ENCFF105IEG,hg19,archived,bed,hotspots,1639876,,False,file not released; file not GRCh38; not an eligible peak output,2
ENCSR000EPK,ENCFF110FXW,hg19,archived,bed,peaks,1148786,,False,file not released; file not GRCh38,2
