filename,uncompressed_bytes,compressed_bytes,compression_method,local_header_offset,crc32
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.22.tsv,99975563,33181793,8,11785441494,4271100057
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.11.tsv,260620196,85674709,8,11818623429,3287222768
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.6.tsv,304610316,95032373,8,11904298280,1272677463
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.2.tsv,296938058,98269302,8,11999330794,162367223
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.17.tsv,255464221,84911943,8,12097600237,2691386509
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/Cis_eqtls_qval.tsv,2787614,1191773,8,12182512322,2875092103
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.5.tsv,206003650,67954270,8,12183704222,391810563
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.9.tsv,186452317,62271532,8,12251658633,2212504187
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.19.tsv,348821367,115984312,8,12313930306,4044696647
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.10.tsv,187862379,61344213,8,12429914760,4242655601
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.8.tsv,158891274,52709774,8,12491259115,4172609644
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.14.tsv,168277181,55436988,8,12543969030,1060421137
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.1.tsv,410335843,135504305,8,12599406160,352665611
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.20.tsv,124450295,41341404,8,12734910606,3184074492
